CORE_CN,STATECD,COUNTYCD,PLOT,FIADB_PLOT,SUBP,TREE,DIA,MEASYEAR,LAT,LON,ELEV,CNT_HT,CNT_LGTH,CNT_X,PITH,RINGCOUNT,VERIFY,REVISIT,INVYR,PLOT_CN,TRE_CN
289863136489998,30,77,135,NA,1,5,3.5,1996,46.773693,-112.570003,6700,NA,NA,NA,y,62,NA,NA,1989,3112152010690,3112172010690
289863138489998,30,77,135,NA,5,4,10.2,1996,46.773693,-112.570003,6700,NA,NA,NA,y,212,NA,NA,1989,3112152010690,3112206010690
289863196489998,30,81,17,NA,1,13,12.9,1995,NA,NA,NA,NA,NA,NA,n,108,n,y,NA,3115639010690,3115657010690
289863228489998,30,81,80,NA,1,9,9.4,1994,46.28136,-113.869572,8300,2,7,2,n,145,n,y,1989,3116783010690,3116798010690
289863229489998,30,81,81,NA,1,3,19,1995,46.288394,-113.789402,8000,NA,NA,NA,n,167,n,y,1989,3116819010690,3116828010690
289863298489998,30,81,145,NA,4,5,7.4,1995,46.020855,-113.775947,8100,1,20,2,n,16,y,n,1989,3118347010690,3118385010690
289863417489998,30,81,231,NA,1,1,10.1,1995,45.662684,-114.420796,7300,2,11,1.5,n,111,n,y,1989,3120644010690,3120651010690
289863957489998,30,93,51,NA,2,2,13.1,1997,45.828014,-112.798126,8200,NA,NA,NA,y,71,NA,y,1989,3136295010690,3136308010690
289864009489998,30,97,31,NA,1,7,6.8,1997,46.044816,-110.235615,8400,0.8,7.8,0.7,n,183,NA,NA,1989,3138277010690,3138290010690
289864046489998,30,97,164,NA,3,1,14.1,1997,45.459803,-110.116936,9200,0.9,14.1,1.9,n,218,NA,NA,1989,3139539010690,3139560010690
289864047489998,30,97,164,NA,4,2,8,1997,45.459803,-110.116936,9200,0.9,4.6,0.9,n,173,NA,NA,1989,3139539010690,3139571010690
289864056489998,30,97,170,NA,4,7,16.7,1997,45.408332,-109.988671,8000,2,24.5,4.3,n,91,NA,NA,1989,3139723010690,3139760010690
289864059489998,30,97,172,NA,2,2,16.2,1997,45.37705,-110.124613,8600,2.3,8.8,1.5,n,139,NA,NA,1989,3139831010690,3139841010690
289864100489998,30,99,125,NA,1,1,7.6,1996,47.797042,-112.743461,6700,0.6,2.8,1.2,n,108,NA,NA,1989,3141094010690,3141101010690
289864104489998,30,99,147,NA,2,3,7.3,1996,47.754589,-112.754051,7000,NA,NA,NA,n,117,NA,NA,1989,3141299010690,3141308010690
289864108489998,30,99,168,NA,1,1,5.1,1996,47.698212,-112.792146,7500,1,4.5,0.6,n,80,NA,NA,1989,3141485010690,3141492010690
558534442126144,16,59,193,NA,2,10,13.3,2014,45.028012,-114.074277,8280,0.2,2,0.1,n,320,n,y,2014,4732699010690,325583204489998
558534451126144,16,59,384,NA,1,1,6.7,2014,44.633423,-113.51647,8330,2,2,0.7,y,147,n,y,2014,4732267010690,325582863489998
558534479126144,16,3,9,NA,3,2,10.1,2015,45.202518,-116.559044,7960,0.1,2,0.6,n,269,n,y,2015,5375875010690,387673101489998
558534560126144,16,49,365,NA,1,6,5.1,2015,45.943603,-114.625306,7400,NA,NA,NA,n,56,n,y,2014,188770829020004,387622297489998
558534589126144,16,59,124,NA,4,4,6.5,2015,45.21643,-113.670561,8720,1,20,0.7,n,50,y,n,2005,5393622010690,5393645010690
558534590126144,16,59,124,NA,4,6,6.8,2015,45.21643,-113.670561,8720,1,11,0.7,n,61,n,y,2005,5393622010690,5393647010690
558534593126144,16,59,166,NA,2,2,7.2,2015,45.082919,-114.518539,8030,0.1,0.5,0.1,n,199,n,y,2005,5393113010690,5393141010690
558534596126144,16,59,166,NA,3,12,10.4,2015,45.082919,-114.518539,8030,0.5,7,0.6,n,211,n,y,2005,5393113010690,5393160010690
558534615126144,16,59,311,NA,4,9,5.7,2015,44.77322,-114.536356,7920,0.1,6,1,n,80,y,n,2005,5393380010690,5393446010690
558534620126144,16,59,399,NA,1,4,8.6,2015,44.582935,-113.521399,8710,NA,NA,NA,n,81,n,y,2005,5392508010690,5392524010690
558534623126144,16,59,443,NA,1,1,5.6,2015,44.41158,-113.323381,10150,1,7,1,n,78,n,y,2005,5392831010690,5392845010690
558534624126144,16,59,443,NA,2,1,6.7,2015,44.41158,-113.323381,10150,0.2,5,1,n,86,n,y,2005,5392831010690,5392857010690
558534648126144,16,85,161,NA,4,9,10.5,2015,44.867089,-115.552612,7990,0.5,3,1.3,n,171,n,y,2015,5398798010690,387667016489998
558534649126144,16,85,164,NA,3,6,9.9,2015,44.874199,-115.349954,7840,0.2,5,0.6,n,255,n,y,2005,5398212010690,5398264010690
295714524489998,16,59,334,NA,1,11,6.9,2017,44.715715,-114.595441,8350,0.4,4,1.3,n,154,y,n,2017,12283667010690,531005527126144
295714543489998,16,59,3058,NA,1,10,7.1,2017,44.565369,-113.616249,9580,0.2,2.8,0.2,n,261,n,y,2007,188773617020004,12283792010690
295711309489998,16,59,288,NA,4,2,8,2016,44.814151,-114.663375,9000,1.5,14,1,n,94,y,n,2016,11806586010690,486612916489998
295711326489998,16,59,299,NA,3,2,6.9,2016,44.804974,-113.849215,8500,NA,NA,NA,n,137,n,y,2016,11806862010690,486589514489998
295711335489998,16,59,376,NA,3,8,8.9,2016,44.635894,-114.485575,8900,NA,NA,NA,y,105,n,n,2016,11807524010690,486586051489998
295711337489998,16,59,390,NA,2,5,6,2016,44.63952,-113.13768,8770,0.7,3.7,6,n,188,n,y,2016,11806755010690,486616660489998
295711342489998,16,59,410,NA,4,12,5.5,2016,44.535761,-113.638923,9580,1.1,5.3,1,n,331,n,y,2006,11807205010690,11807271010690
295714505489998,16,59,167,NA,4,3,5.9,2017,45.081867,-114.459731,7940,0.3,4,0.3,n,139,y,n,2007,188773542020004,12284575010690
558534335126144,16,49,819,NA,2,1,8.8,2018,45.283861,-115.977758,7680,1,3,0.8,n,255,n,y,2008,188773883020004,50637571020004
558534353126144,16,59,143,NA,4,8,9,2018,45.171693,-113.607904,8440,1,11,1,n,162,n,y,2008,31368397010690,31368428010690
295711467489998,32,31,659,NA,1,1,10.2,2016,NA,NA,NA,0.4,5,3,n,105,n,y,NA,35382362010690,41721079010690
558534224126144,32,7,1423,NA,3,4,10,2018,NA,NA,NA,NA,NA,NA,n,49,y,n,NA,429484461489998,284513926489998
295705723489998,56,13,13,NA,4,3,9.4,2013,43.882154,-109.443725,10110,1.2,11,1.3,n,111,n,y,2013,40405615010690,275459131489998
295705459489998,56,13,22,NA,1,24,7,2012,43.802342,-110.017455,8990,NA,NA,NA,NA,245,n,y,2012,40405617010690,188954782020004
295705463489998,56,13,33,NA,2,14,5.3,2012,43.796064,-109.327158,10440,0.7,2.6,0.3,n,98,y,n,2012,40405619010690,188954883020004
295705468489998,56,13,140,NA,1,18,5.3,2012,43.488881,-110.005021,8510,1.1,4.2,0.2,n,169,n,y,2012,40405650010690,188955740020004
295705470489998,56,13,140,NA,3,26,4.5,2012,43.488881,-110.005021,8510,0.3,2.1,0.5,n,102,n,y,2012,40405650010690,188955767020004
295705474489998,56,13,220,NA,1,20,6.8,2012,43.390609,-109.523725,9040,1.1,9.5,1.6,n,222,n,y,2011,40405670010690,188956452020004
295705475489998,56,13,220,NA,2,37,11,2012,43.390609,-109.523725,9040,0.9,7.8,0.9,n,177,y,n,2011,40405670010690,188956494020004
295705477489998,56,13,500,NA,1,25,3.1,2012,43.021659,-109.216629,9580,NA,NA,NA,n,73,n,y,2012,40405749010690,188956961020004
295705968489998,56,13,559,NA,4,5,9.7,2014,42.934407,-109.339972,10600,NA,NA,NA,y,118,y,n,2013,40405766010690,335001971489998
295705730489998,56,13,591,NA,1,6,13.1,2013,42.886294,-109.165075,9970,0.9,4,1.3,n,102,y,y,2013,40405776010690,275460230489998
295705731489998,56,13,591,NA,3,16,12.4,2013,42.886294,-109.165075,9970,0.6,3,1.2,n,597,n,y,2013,40405776010690,275460264489998
295705480489998,56,13,761,NA,4,24,4.6,2012,42.617244,-109.048967,9880,0.3,1.6,0.8,n,95,y,y,2012,40405821010690,188957900020004
295705488489998,56,13,3001,NA,2,6,9.7,2012,43.64285,-109.995789,9200,1.3,13.1,1.8,n,189,n,y,2012,40405877010690,188958366020004
295705740489998,56,17,59,NA,3,1,11.3,2013,43.793368,-109.265255,10620,1.1,8.1,1.1,n,107,n,y,2014,40419028010690,335139019489998
289864986489998,56,29,84,NA,3,7,11,2011,44.886693,-110.813064,7840,0.7,7.9,1.7,n,167,n,n,2011,40406672010690,188964907020004
289864992489998,56,29,219,NA,4,14,9.6,2011,44.745659,-109.668465,8050,NA,NA,NA,n,257,n,y,2011,40406711010690,188966600020004
295706025489998,56,29,374,NA,4,7,12.2,2014,44.523408,-110.055508,8880,0.8,3,1.7,n,225,n,y,2014,40420796010690,335145422489998
295705782489998,56,29,512,NA,1,5,9,2013,44.294457,-109.622942,9800,0.9,8.3,3.1,n,90,y,n,2012,40406795010690,247331678489998
295705783489998,56,29,512,NA,4,26,13.7,2013,44.294457,-109.622942,9800,0.9,8.5,3.1,n,123,y,n,2012,40406795010690,247331772489998
295705540489998,56,29,582,NA,2,3,10.6,2012,44.1609,-109.816783,9480,0.5,2,0.7,n,148,y,n,2012,40406817010690,188969160020004
295705793489998,56,29,674,NA,3,12,27.6,2013,43.971998,-109.563831,10140,NA,NA,NA,n,202,y,n,2014,40420989010690,275475211489998
295705552489998,56,29,705,NA,2,24,4.6,2012,43.842427,-109.813717,8830,0.3,2.5,1.1,n,118,n,y,2012,40406851010690,188970088020004
295705554489998,56,29,705,NA,4,1,11.6,2012,43.842427,-109.813717,8830,1.3,18.7,1.7,n,167,n,y,2012,40406851010690,188970094020004
295705804489998,56,29,3006,NA,4,7,12.4,2013,44.988528,-109.704538,8550,1.7,13.5,1.7,n,166,y,n,2014,40421014010690,275475438489998
295705564489998,56,29,3086,NA,2,1,10.3,2012,44.046749,-109.845239,9560,NA,NA,NA,n,57,y,n,2011,40406874010690,188970784020004
295705565489998,56,29,3086,NA,2,20,3.9,2012,44.046749,-109.845239,9560,0.4,3.7,1.1,n,58,y,n,2011,40406874010690,188970803020004
295706050489998,56,29,3087,NA,3,1,11.6,2014,44.052904,-109.791404,9720,1,7,4.2,n,92,n,y,2013,40406875010690,335002023489998
295706051489998,56,29,3087,NA,3,2,5.4,2014,44.052904,-109.791404,9720,NA,NA,NA,y,13,n,n,2013,40406875010690,335002024489998
295706057489998,56,29,3103,NA,2,16,7.6,2014,44.247357,-109.934775,9550,1,11.5,0.3,n,315,n,y,2013,282479222489998,335133147489998
