Year,E13A1,E13A2,E16N3B,E16N4,E16N7A,E16E7,E16ExA,E16S8,F16S6A,G12N9B,G12W5,G12W7,G13E6B,G13E1,G14N10,G14S8,G15E9A,H11N2,H11N3A,H11N5,H11S9,H11W1,H11W2,H11W3,H11W4,H11W7,H12E2B,H12S1A,H13N3,H15N9,H15N10A,H15S2,H15W9,H151B,I11S8A,I11S10,I12W6,I12E1B,I13S5,I13W9,I13E6A,J11S2,J12N2,J12W9,J13E5,J14E3,K11S8A,K11S8A1,K13E6,K14N2A,K14N21,K14Ex1,K14Ex3,L13N7,L13S2,L13S3,L13S6,L13W10
1982,1.199,1,0.968,0.682,1.119,0.976,0.642,0.524,2.326,1.183,1.312,0.659,0.619,1.135,3.135,1.567,1.174,1.039,1.5,0.651,0.799,0.317,0.421,1.27,0.55,0.706,1.492,0.905,0.719,1.111,0.928,0.169,0.032,0.976,0.524,0.804,1.302,1,1.746,0.024,1.056,0.762,1.516,1.354,0.936,0.974,1.444,0.868,1.405,2.183,1.667,1.285,1.373,1.278,1.183,2.072,2.117,2.357
1983,1.905,0.984,0.937,1.056,1.365,1.087,0.848,1.961,3.262,1.508,1.419,0.944,1.016,1.683,4.085,2.159,1.802,1.032,1.762,0.619,1.116,0.392,0.556,1.715,1.366,1.23,2.088,1.579,0.768,1.517,1.255,0.127,0.072,1.318,0.73,0.91,1.492,1.183,1.032,0.018,1.159,0.738,1.714,1.588,1.04,1.27,1.651,0.508,1.516,2.889,1.715,1.35,1.944,0.857,1.088,2.366,2.328,2.675
1984,1.024,1.072,0.968,1.096,2.167,1.239,0.992,1.802,2.286,1.54,1.185,0.818,0.881,1.246,2.942,1.079,1.572,0.715,2.406,0.961,0.889,0.471,0.381,1.373,1.227,1.056,2.063,1.738,0.783,1.001,1.127,0.212,0.088,1.071,0.81,0.677,1.429,1.659,1.19,0.032,1.73,1.072,2.064,1.524,0.897,1.143,1.635,0.825,1.54,3,1.508,1.627,2.167,0.873,1.246,2.008,1.905,1.945
1985,0.976,0.881,0.794,0.865,1.683,1.341,0.876,1.428,2.628,1.651,0.847,0.77,0.857,1.405,2.225,0.699,1.055,0.849,1.674,1.714,0.561,0.418,0.388,1.175,1.18,0.905,1.882,1.58,0.693,0.826,0.952,0.19,0.08,1.088,0.682,0.487,1.389,1.476,1.286,0.021,1.572,0.889,2.373,1.524,0.699,1.016,1.493,0.783,1.238,2.286,1.516,1.587,1.731,0.73,1.405,1.444,1.228,1.151
1986,1.199,1.024,0.905,0.754,1.349,1.246,1.158,1.858,2.159,1.785,1.038,0.571,1.088,2.358,1.862,0.698,1.31,1.429,1.445,1.889,0.609,0.402,0.508,1.238,1.191,1.262,1.913,1.214,0.635,0.938,1.096,0.234,0.095,0.793,0.548,0.678,1.627,1.81,1.183,0.072,1.714,0.437,2.255,1.418,0.611,1.079,1.309,0.974,1.469,2.358,1.436,1.747,1.833,0.85,1.944,1.945,1.185,1.254
1987,1.333,1.055,1,0.73,1.794,1.302,1.354,1.587,2.151,2.096,1.334,0.469,1.349,2.611,1.82,0.742,1.048,1.151,1.445,1.31,0.46,0.471,0.508,1.262,1.132,0.802,2.151,1.842,0.646,1.055,1.135,0.34,0.135,1.168,0.516,0.698,1.54,1.635,1.333,0.053,2,0.897,2.214,1.439,0.809,1.397,1.366,1.122,1.444,2.794,1.255,1.778,2.191,1.174,2.31,1.651,1.27,1.111
1988,1.429,1.318,1.166,1.151,2.175,1.508,0.992,2.659,2.111,2.175,1.337,0.682,1.929,2.469,2.244,0.72,1.365,1.444,1.643,1.23,0.609,0.582,0.604,1.548,1.54,1.587,3.04,2.445,0.984,1.159,1.254,0.444,0.231,1.86,0.563,0.36,1.151,2.722,1.199,0.088,2.334,1.087,2.318,1.038,0.58,1.503,1.587,1.46,1.874,3.286,1.198,2.246,2.095,1.699,2.358,1.857,0.445,1.5
1989,0.921,1.175,0.842,0.857,1.596,1.389,1.012,2.167,2.088,1.587,0.914,0.564,1.722,2.008,1.95,0.529,1.096,1.469,2.913,0.572,0.529,0.503,0.572,1.183,1.233,1.207,2.325,1.833,0.503,1.048,0.96,0.424,0.206,1.571,0.389,0.402,1.047,1.961,1.778,0.079,1.651,0.96,1.659,0.91,0.579,1.44,1.238,1.27,1.468,2.238,0.802,1.873,1.453,1.389,1.793,1.429,0.719,0.937
1990,0.849,1.19,0.762,0.715,1.436,1.35,1.192,1.786,2.476,1.62,1.101,0.635,1.874,2.556,1.95,0.784,0.992,1.214,2.23,0.532,1.153,0.852,0.731,1.587,1.54,1.413,2.12,1.532,0.592,1.501,0.881,0.445,0.215,1.262,0.461,0.508,1.04,2.421,1.675,0.079,2.04,0.834,1.873,0.74,0.453,1.714,1.913,1.821,2.159,2.707,0.952,2.461,1.778,1.651,2.048,1.453,1.165,1.143
1991,0.937,1.294,0.833,0.777,1.762,1.143,1.118,2.111,2.58,1.659,0.825,0.5,1.706,3.675,1.968,1.079,1.039,1.54,2.58,0.476,2.974,1.058,1.103,2.016,1.868,1.539,1.452,2,0.836,1.469,0.794,0.444,0.198,0.985,0.373,0.635,1.294,2.897,1.309,0.122,1.96,1.032,2.239,0.762,0.547,2.117,2.183,1.397,1.897,2.246,1.088,2.214,1.786,1.762,2.112,1.817,0.931,1.857
1992,1.198,1.183,1.072,0.81,2.151,1.341,0.906,1.977,2.008,1.643,0.741,0.532,2.461,4.23,2.329,0.89,1.017,1.508,2.683,0.635,2.524,1.217,1.119,1.881,1.704,1.604,1.405,2.215,0.762,1.732,0.921,0.678,0.294,1.246,0.436,0.699,1.77,2.524,1.04,0.182,1.667,1.055,2.413,0.635,0.627,1.672,1.873,1.418,2.096,3.009,1.167,2.525,2.207,1.508,2.508,1.612,0.974,1.826
1993,1.977,1.032,0.992,1.056,1.802,1.183,0.918,2,1.31,1.627,0.656,0.381,3.389,3.207,2.264,0.932,1.103,1.54,2.413,0.659,2.117,1.291,0.841,1.675,1.54,1.627,1.016,2.254,0.9,1.414,0.809,0.614,0.223,1.405,0.572,0.931,1.603,2.596,1.016,0.167,1.239,0.889,1.873,0.466,0.413,1.355,1.286,1.333,2.175,2.595,0.706,2.73,2.143,1.381,2.183,1.659,0.952,1.452
1994,2.357,1.524,1.024,1.429,1.858,1.675,1.164,1.969,1.659,1.373,0.868,0.5,3.707,2.945,3.048,0.825,1.73,1.786,2.571,0.659,1.43,1.043,1.191,1.651,1.577,1.532,1.683,3.143,0.82,1.366,1.064,0.804,0.291,1.659,0.603,0.868,1.683,3.016,0.866,0.238,2.619,1.255,2.635,0.572,0.548,1.164,1.5,1.482,1.857,2.683,0.548,4.858,2.254,1.445,2.889,1.905,1.397,1.754
1995,1.588,1.206,0.865,0.92,1.325,1.055,1.682,1.555,1.175,1.365,0.55,0.476,2.564,2.326,2.309,0.704,1.334,1.31,2.667,0.484,1.149,0.593,1.087,1.318,1.206,1.167,1.119,1.699,0.63,0.757,1,0.698,0.254,1.238,0.373,0.656,1.365,2.088,1.46,0.159,1.738,1.024,2.016,0.508,0.516,1.079,1.112,1.185,1.54,2.334,0.786,3.087,1.73,1.048,1.818,1.571,0.91,1.056
1996,1.579,1.984,0.873,0.675,1.326,1.135,2.464,1.318,1.214,1.111,0.361,0.619,2.151,3.278,2.497,0.445,1.214,1.301,1.723,0.524,1.085,0.518,1.572,1.667,2.154,1.389,1.429,2.485,0.677,0.62,0.976,0.911,0.254,2.183,0.127,0.635,1.62,2.881,0.937,0.144,2.389,1.365,2.381,0.635,0.468,1.397,1.008,1.482,1.889,2.611,1,2.731,1.913,0.905,2.254,1.953,0.974,1.675
