TRE_CN,MEASYEAR,Year,RW,DIA
23T525,2023,1887,0.6,14.1
23T525,2023,1888,0.9,14.1
23T525,2023,1889,1.21,14.1
23T525,2023,1890,1.56,14.1
23T525,2023,1891,1.64,14.1
23T525,2023,1892,2.14,14.1
23T525,2023,1893,2.06,14.1
23T525,2023,1894,1.53,14.1
23T525,2023,1895,2.14,14.1
23T525,2023,1896,2.48,14.1
23T525,2023,1897,1.87,14.1
23T525,2023,1898,2.83,14.1
23T525,2023,1899,1.68,14.1
23T525,2023,1900,1.71,14.1
23T525,2023,1901,2.08,14.1
23T525,2023,1902,2.07,14.1
23T525,2023,1903,1.62,14.1
23T525,2023,1904,1.98,14.1
23T525,2023,1905,1.87,14.1
23T525,2023,1906,1.41,14.1
23T525,2023,1907,1.96,14.1
23T525,2023,1908,1.56,14.1
23T525,2023,1909,1.18,14.1
23T525,2023,1910,1.99,14.1
23T525,2023,1911,1.64,14.1
23T525,2023,1912,1.56,14.1
23T525,2023,1913,1.37,14.1
23T525,2023,1914,1.38,14.1
23T525,2023,1915,1.36,14.1
23T525,2023,1916,1.44,14.1
23T525,2023,1917,1.52,14.1
23T525,2023,1918,1.61,14.1
23T525,2023,1919,1.72,14.1
23T525,2023,1920,1.23,14.1
23T525,2023,1921,1.42,14.1
23T525,2023,1922,1.37,14.1
23T525,2023,1923,1.63,14.1
23T525,2023,1924,1.74,14.1
23T525,2023,1925,1.95,14.1
23T525,2023,1926,2.23,14.1
23T525,2023,1927,2.33,14.1
23T525,2023,1928,2.21,14.1
23T525,2023,1929,1.65,14.1
23T525,2023,1930,1.87,14.1
23T525,2023,1931,2.04,14.1
23T525,2023,1932,1.63,14.1
23T525,2023,1933,1.61,14.1
23T525,2023,1934,1.58,14.1
23T525,2023,1935,1.93,14.1
23T525,2023,1936,1.74,14.1
23T525,2023,1937,1.54,14.1
23T525,2023,1938,1.75,14.1
23T525,2023,1939,1.86,14.1
23T525,2023,1940,1.66,14.1
23T525,2023,1941,1.52,14.1
23T525,2023,1942,1.56,14.1
23T525,2023,1943,1.57,14.1
23T525,2023,1944,1.37,14.1
23T525,2023,1945,1.32,14.1
23T525,2023,1946,1.24,14.1
23T525,2023,1947,1.11,14.1
23T525,2023,1948,1.07,14.1
23T525,2023,1949,1.19,14.1
23T525,2023,1950,1,14.1
23T525,2023,1951,0.94,14.1
23T525,2023,1952,1.02,14.1
23T525,2023,1953,0.88,14.1
23T525,2023,1954,0.87,14.1
23T525,2023,1955,0.85,14.1
23T525,2023,1956,0.74,14.1
23T525,2023,1957,0.58,14.1
23T525,2023,1958,0.75,14.1
23T525,2023,1959,0.78,14.1
23T525,2023,1960,0.81,14.1
23T525,2023,1961,0.78,14.1
23T525,2023,1962,0.85,14.1
23T525,2023,1963,0.89,14.1
23T525,2023,1964,0.73,14.1
23T525,2023,1965,0.64,14.1
23T525,2023,1966,0.53,14.1
23T525,2023,1967,0.56,14.1
23T525,2023,1968,0.63,14.1
23T525,2023,1969,0.63,14.1
23T525,2023,1970,0.72,14.1
