TRE_CN,Year,RW,MEASYEAR,DIA
2873032010690,1979,0.82,1994,19.7
2873032010690,1980,0.57,1994,19.7
2873032010690,1981,0.72,1994,19.7
2873032010690,1982,0.7,1994,19.7
2873032010690,1983,0.9,1994,19.7
2873032010690,1984,0.72,1994,19.7
2873032010690,1985,1.06,1994,19.7
2873032010690,1986,1.02,1994,19.7
2873032010690,1987,0.9,1994,19.7
2873032010690,1988,1.14,1994,19.7
2873032010690,1989,0.51,1994,19.7
2873032010690,1990,0.58,1994,19.7
2873032010690,1991,0.51,1994,19.7
2873032010690,1992,0.63,1994,19.7
2873032010690,1993,0.78,1994,19.7
2873032010690,1994,0.49,1994,19.7
2877754010690,1857,0.92,1994,9.9
2877754010690,1858,0.88,1994,9.9
2877754010690,1859,0.77,1994,9.9
2877754010690,1860,0.99,1994,9.9
2877754010690,1861,0.68,1994,9.9
2877754010690,1862,1.12,1994,9.9
2877754010690,1863,1.09,1994,9.9
2877754010690,1864,0.79,1994,9.9
2877754010690,1865,0.57,1994,9.9
2877754010690,1866,1.22,1994,9.9
2877754010690,1867,0.88,1994,9.9
2877754010690,1868,1.14,1994,9.9
2877754010690,1869,1.35,1994,9.9
2877754010690,1870,0.82,1994,9.9
2877754010690,1871,0.84,1994,9.9
2877754010690,1872,1.11,1994,9.9
2877754010690,1873,0.93,1994,9.9
2877754010690,1874,0.79,1994,9.9
2877754010690,1875,0.98,1994,9.9
2877754010690,1876,0.93,1994,9.9
2877754010690,1877,1.02,1994,9.9
2877754010690,1878,1.09,1994,9.9
2877754010690,1879,0.71,1994,9.9
2877754010690,1880,0.35,1994,9.9
2877754010690,1881,0.71,1994,9.9
2877754010690,1882,0.68,1994,9.9
2877754010690,1883,0.74,1994,9.9
2877754010690,1884,1,1994,9.9
2877754010690,1885,0.92,1994,9.9
2877754010690,1886,0.89,1994,9.9
2877754010690,1887,0.86,1994,9.9
2877754010690,1888,0.71,1994,9.9
2877754010690,1889,0.95,1994,9.9
2877754010690,1890,0.71,1994,9.9
2877754010690,1891,0.8,1994,9.9
2877754010690,1892,0.76,1994,9.9
2877754010690,1893,0.46,1994,9.9
2877754010690,1894,0.94,1994,9.9
2877754010690,1895,0.98,1994,9.9
2877754010690,1896,0.65,1994,9.9
2877754010690,1897,1.2,1994,9.9
2877754010690,1898,1.37,1994,9.9
2877754010690,1899,0.44,1994,9.9
2877754010690,1900,0.67,1994,9.9
2877754010690,1901,0.71,1994,9.9
2877754010690,1902,0.53,1994,9.9
2877754010690,1903,0.72,1994,9.9
2877754010690,1904,0.79,1994,9.9
2877754010690,1905,0.88,1994,9.9
